Gene,MB_WT_1,MB_WT_2,MB_WT_3,MB_MUT2_1,MB_MUT2_2,MB_MUT2_3,MB_MUT4_1,MB_MUT4_2,MB_MUT4_3
abcc4,1989,771,968,2082,1987,3061,1911,1579,1736
bdnf,4345,5207,4635,4196,4082,3466,3460,5185,4469
camk4,11174,10674,11099,8989,11835,12408,11040,12423,16099
gabbr2,3160,4419,3985,3390,3488,3132,3080,3723,3363
gnas,5492,5806,5558,3810,4316,3887,3490,4248,3842
grin3a,1077,853,729,834,831,599,752,870,698
htr6,106,80,57,90,94,90,109,142,113
npy,2996,3833,3048,3523,2794,2007,2397,2692,2503
npy1r,207,242,248,240,228,188,280,256,261
pde4d,1026,1025,1041,1159,1181,961,1311,1225,918
ppp1r1b,1633,1848,1756,1556,1775,2002,1720,2096,2884
rapgef3,331,348,302,473,468,362,467,477,318
