Genes,MB_WT_1,MB_WT_2,MB_WT_3,MB_MUT2_1,MB_MUT2_2,MB_MUT2_3,MB_MUT4_1,MB_MUT4_2,MB_MUT4_3
chrna1,36,21,16,12,16,26,11,24,12
chrna10a,122,102,7,132,16,4,32,14,82
chrna2a,305,285,244,204,164,163,251,192,214
chrna2b,394,366,401,406,373,389,462,539,450
chrna3,68,50,76,38,68,46,16,20,31
chrna4b,501,458,512,516,477,461,525,559,519
chrna5,798,963,966,1018,1068,1097,808,1017,1334
chrna6,1637,2073,1573,1487,1235,1245,1554,1625,1266
chrna7,230,188,140,163,122,121,138,129,103
chrna9,5,0,0,0,3,0,0,4,2
chrnb2,4618,5427,5182,4644,4569,3826,4024,5027,4714
chrnb4,153,93,106,82,93,86,54,57,83
