Gene,WB_WT_1,WB_WT_2,WB_WT_3,WB_MUT2_1,WB_MUT2_2,WB_MUT2_3,WB_MUT4_1,WB_MUT4_2,WB_MUT4_3
abcc4,1351,2574,1909,1226,1728,1511,2204,1744,1345
bdnf,5863,5380,4817,4907,5690,5361,9213,7343,5504
camk4,16255,17469,15338,17093,16456,15518,22020,18007,17643
gabbr2,1827,2026,2184,2677,2098,3026,2964,1869,1534
gnas,4274,5818,5432,4861,4662,4772,5569,4505,3584
grin3a,803,814,709,871,780,797,819,591,802
htr6,177,251,187,178,165,177,272,206,204
npy,4654,4050,3915,4452,4287,5111,5301,3909,6399
npy1r,123,164,162,173,166,131,197,165,156
pde4d,371,449,438,482,362,392,575,487,475
ppp1r1b,2733,2456,2409,2901,3012,2840,3418,2793,3335
rapgef3,472,461,506,480,517,468,1187,554,522
