Genes,WB_WT_1,WB_WT_2,WB_WT_3,WB_MUT2_1,WB_MUT2_2,WB_MUT2_3,WB_MUT4_1,WB_MUT4_2,WB_MUT4_3
chrna1,99,73,168,11,25,27,51,26,19
chrna10a,131,15,162,128,132,135,42,22,292
chrna2a,169,215,234,115,113,85,175,128,173
chrna2b,541,344,384,601,478,651,516,527,600
chrna3,202,63,103,122,80,115,34,45,27
chrna4b,337,315,317,293,340,361,485,442,335
chrna5,1048,982,1048,1138,1028,1002,1315,898,1470
chrna6,1106,1215,1064,1271,1313,1147,1577,1166,1314
chrna7,198,75,140,248,208,268,139,200,222
chrna9,2,0,2,0,0,0,2,0,2
chrnb2,4485,4449,4263,4283,4300,4172,5315,3956,4458
chrnb4,105,123,134,184,189,173,79,127,88
