Gene,WB_WT_1,WB_WT_2,WB_WT_3,WB_MUT2_1,WB_MUT2_2,WB_MUT2_3,WB_MUT4_1,WB_MUT4_2,WB_MUT4_3
adra2a,305,204,258,280,333,359,382,343,356
chrna1,99,73,168,11,25,27,51,26,19
chrna3,202,63,103,122,80,115,34,45,27
chrna5,1048,982,1048,1138,1028,1002,1315,898,1470
chrna6,1106,1215,1064,1271,1313,1147,1577,1166,1314
chrna7,198,75,140,248,208,268,139,200,222
chrnb1,34,43,45,23,10,21,57,37,54
chrnb2,4485,4449,4263,4283,4300,4172,5315,3956,4458
chrnb4,105,123,134,184,189,173,79,127,88
chrnd,4,4,6,18,1,4,4,9,0
chrng,32,66,45,27,33,19,42,9,31
cnr1,2877,3902,3173,4635,3749,3925,5205,4072,3011
drd3,914,695,711,979,994,977,1106,929,936
gabbr2,1827,2026,2184,2677,2098,3026,2964,1869,1534
gabra4,1711,2360,1798,2636,2876,2522,2441,2033,1507
grin3a,803,814,709,871,780,797,819,591,802
htr6,177,251,187,178,165,177,272,206,204
npy1r,123,164,162,173,166,131,197,165,156
npy2r,43,18,28,83,71,105,28,32,49
nr3c1,6236,5897,5669,6812,6938,6568,8655,6806,7687
oprm1,684,718,698,732,668,585,1098,801,990
